date,residential,new_cases
2021-01-01,3,9
2021-01-02,1,9
2021-01-03,-3,8
2021-01-04,-3,12
2021-01-05,-4,3
2021-01-06,-5,7
2021-01-07,-6,1
2021-01-08,-3,4
2021-01-09,-2,3
2021-01-10,-2,1
2021-01-11,-4,1
2021-01-12,-6,1
2021-01-13,-7,5
2021-01-14,-10,1
2021-01-15,-6,10
2021-01-16,-5,5
2021-01-17,-4,1
2021-01-18,-6,0
2021-01-19,-7,2
2021-01-20,-8,1
2021-01-21,-10,4
2021-01-22,-6,2
2021-01-23,-5,2
2021-01-24,-5,0
2021-01-25,-6,0
2021-01-26,-7,1
2021-01-27,-8,2
2021-01-28,-10,2
2021-01-29,-7,98
2021-01-30,-7,88
2021-01-31,-7,42
2021-02-01,-10,38
2021-02-02,-9,32
2021-02-03,-10,40
2021-02-04,-9,57
2021-02-05,-6,9
2021-02-06,-5,19
2021-02-07,-7,9
2021-02-08,-5,20
2021-02-09,-3,48
2021-02-10,-5,17
2021-02-11,-3,39
2021-02-12,1,31
2021-02-13,-5,2
2021-02-14,-8,53
2021-02-15,-4,34
2021-02-16,-3,42
2021-02-17,-8,40
2021-02-18,-7,18
2021-02-19,-4,18
2021-02-20,-3,15
2021-02-21,-5,6
2021-02-22,-6,15
2021-02-23,-7,12
2021-02-24,-8,8
2021-02-25,-9,9
2021-02-26,-6,9
2021-02-27,-5,5
2021-02-28,-5,6
2021-03-01,-8,16
2021-03-02,-10,24
2021-03-03,-11,3
2021-03-04,-12,7
2021-03-05,-9,6
2021-03-06,-8,13
2021-03-07,-8,8
2021-03-08,-12,3
2021-03-09,-11,12
2021-03-10,-12,2
2021-03-11,-13,3
2021-03-12,-10,6
2021-03-13,-8,15
2021-03-14,-9,3
2021-03-15,-11,1
2021-03-16,-11,5
2021-03-17,-12,1
2021-03-18,-14,7
2021-03-19,-10,3
2021-03-20,-9,1
2021-03-21,-8,1
2021-03-22,-11,0
2021-03-23,-12,3
2021-03-24,-13,1
2021-03-25,-14,0
2021-03-26,-10,5
2021-03-27,-9,5
2021-03-28,-9,4
2021-03-29,-11,1
2021-03-30,-12,3
2021-03-31,-13,0
2021-04-01,-14,9
2021-04-02,-10,14
2021-04-03,-10,3
2021-04-04,-10,9
2021-04-05,-12,2
2021-04-06,-12,6
2021-04-07,-13,11
2021-04-08,-14,11
2021-04-09,-10,10
2021-04-10,-9,14
2021-04-11,-9,9
2021-04-12,-11,4
2021-04-13,-12,11
2021-04-14,-13,10
2021-04-15,-14,20
2021-04-16,-11,21
2021-04-17,-7,15
2021-04-18,-8,8
2021-04-19,-11,4
2021-04-20,-14,6
2021-04-21,-5,10
2021-04-22,-14,11
2021-04-23,-10,12
2021-04-24,-9,8
2021-04-25,-7,1
2021-04-26,-10,13
2021-04-27,-12,6
2021-04-28,-13,5
2021-04-29,-18,8
2021-04-30,-8,49
2021-05-01,-5,14
2021-05-02,-11,14
2021-05-03,-7,20
2021-05-04,-10,23
2021-05-05,-10,11
2021-05-06,-11,34
2021-05-07,-6,61
2021-05-08,-3,61
2021-05-09,-1,93
2021-05-10,-5,167
2021-05-11,-5,77
2021-05-12,-6,82
2021-05-13,-7,87
2021-05-14,-3,82
2021-05-15,-1,96
2021-05-16,-1,276
2021-05-17,-5,100
2021-05-18,-5,166
2021-05-19,-6,165
2021-05-20,-7,177
2021-05-21,-1,113
2021-05-22,2,128
2021-05-23,2,158
2021-05-24,-2,156
2021-05-25,0,186
2021-05-26,-3,470
2021-05-27,-4,180
2021-05-28,0,245
2021-05-29,2,301
2021-05-30,3,251
2021-05-31,0,260
2021-06-01,0,264
2021-06-02,0,193
2021-06-03,-2,245
2021-06-04,3,245
2021-06-05,5,249
2021-06-06,5,216
2021-06-07,2,211
2021-06-08,3,236
2021-06-09,0,195
2021-06-10,-1,413
2021-06-11,3,200
2021-06-12,5,213
2021-06-13,5,289
2021-06-14,0,293
2021-06-15,0,251
2021-06-16,-1,423
2021-06-17,-3,490
2021-06-18,2,437
2021-06-19,4,277
2021-06-20,5,470
2021-06-21,1,280
2021-06-22,1,272
2021-06-23,-1,252
2021-06-24,-2,207
2021-06-25,3,334
2021-06-26,5,792
2021-06-27,5,210
2021-06-28,2,415
2021-06-29,1,396
2021-06-30,0,371
2021-07-01,-1,545
2021-07-02,4,675
2021-07-03,5,633
2021-07-04,6,950
2021-07-05,2,951
2021-07-06,2,1051
2021-07-07,1,1029
2021-07-08,-1,1044
2021-07-09,7,1425
2021-07-10,9,1798
2021-07-11,9,1862
2021-07-12,7,2008
2021-07-13,7,2187
2021-07-14,6,2744
2021-07-15,6,2830
2021-07-16,11,4049
2021-07-17,12,4004
2021-07-18,11,4710
2021-07-19,13,4843
2021-07-20,14,4335
2021-07-21,13,5427
2021-07-22,12,5537
2021-07-23,19,7125
2021-07-24,19,8688
2021-07-25,18,7956
2021-07-26,19,6260
2021-07-27,19,7938
2021-07-28,18,8010
2021-07-29,17,6519
2021-07-30,22,9765
2021-07-31,22,7717
2021-08-01,20,8938
2021-08-02,21,7447
